"cs-airport","ADQ","Kodiak Airport","Kodiak",
"cs-airport","ADU","Ardabil Airport","Ardabil",
"cs-airport","ADZ","Gustavo Rojas Pinilla International Airport","Gustavo Rojas Pinilla International","San AndrÃ©s"
"cs-airport","AEB","Baise Youjiang Airport","Baise Youjiang","Baise"
"cs-airport","AEG","Aek Godang Airport","Aek Godang","Padang Sidempuan-Sumatra Island"
"cs-airport","AEH","Abeche Airport","Abeche",
"cs-airport","AEI","Algeciras Heliport","Algeciras Heliport","Algeciras"
"cs-airport","AEP","Jorge Newbery Airpark","Jorge Newbery Airpark","Buenos Aires"
"cs-airport","AER","Sochi International Airport","Sochi International","Sochi"
"cs-airport","AES","Ã…lesund Airport","Ã…lesund",
"cs-airport","AEX","Alexandria International Airport","Alexandria International","Alexandria"
"cs-airport","AEY","Akureyri Airport","Akureyri",
"cs-airport","AFA","Suboficial Ay Santiago Germano Airport","Suboficial Ay Santiago Germano","San Rafael"
"cs-airport","AFL","Piloto Osvaldo Marques Dias Airport","Piloto Osvaldo Marques Dias","Alta Floresta"
"cs-airport","AFT","Afutara Aerodrome","Afutara Aerodrome","Bila"
"cs-airport","AFZ","Sabzevar National Airport","Sabzevar National","Sabzevar"
"cs-airport","AGA","Al Massira Airport","Al Massira","Agadir"
"cs-airport","AGB","Augsburg Airport","Augsburg",
"cs-airport","AGF","Agen-La Garenne Airport","Agen-La Garenne","Agen/La Garenne"
"cs-airport","AGH","Ã„ngelholm-Helsingborg Airport","Ã„ngelholm-Helsingborg","Ã„ngelholm"
"cs-airport","AGI","Wageningen Airstrip","Wageningen Airstrip","Wageningen"
"cs-airport","AGJ","Aguni Airport","Aguni",
"cs-airport","AGM","Tasiilaq Heliport","Tasiilaq Heliport","Tasiilaq"
"cs-airport","AGN","Angoon Seaplane Base","Angoon Seaplane Base","Angoon"
"cs-airport","AGP","MÃ¡laga Airport","MÃ¡laga",
"cs-airport","AGQ","Agrinion Air Base","Agrinion Air Base","Agrinion"
"cs-airport","AGS","Augusta Regional At Bush Field","Augusta Regional At Bush Field","Augusta"
"cs-airport","AGT","Guarani International Airport","Guarani International","Ciudad del Este"
"cs-airport","AGU","JesÃºs TerÃ¡n Paredo International Airport","JesÃºs TerÃ¡n Paredo International","Aguascalientes"
"cs-airport","AGV","Oswaldo Guevara Mujica Airport","Oswaldo Guevara Mujica","Acarigua"
"cs-airport","AHB","Abha Regional Airport","Abha Regional","Abha"
"cs-airport","AHE","Ahe Airport","Ahe","Ahe Atoll"
"cs-airport","AHN","Athens Ben Epps Airport","Athens Ben Epps","Athens"
"cs-airport","AHO","Alghero-Fertilia Airport","Alghero-Fertilia","Alghero"
"cs-airport","AHU","Cherif Al Idrissi Airport","Cherif Al Idrissi","Al Hoceima"
"cs-airport","AIC","Ailinglaplap Airok Airport","Ailinglaplap Airok","Bigatyelang Island"
"cs-airport","AIM","Ailuk Airport","Ailuk","Ailuk Island"
"cs-airport","AIT","Aitutaki Airport","Aitutaki",
"cs-airport","AIU","Enua Airport","Enua","Atiu Island"
"cs-airport","AJA","Ajaccio-NapolÃ©on Bonaparte Airport","Ajaccio-NapolÃ©on Bonaparte","Ajaccio/NapolÃ©on Bonaparte"
"cs-airport","AJF","Al-Jawf Domestic Airport","Al-Jawf Domestic","Al-Jawf"
"cs-airport","AJI","AÄŸrÄ± Airport","AÄŸrÄ±",
"cs-airport","AJL","Lengpui Airport","Lengpui","Aizawl"
"cs-airport","AJN","Ouani Airport","Ouani",
"cs-airport","AJR","Arvidsjaur Airport","Arvidsjaur",
"cs-airport","AJU","Santa Maria Airport","Santa Maria","Aracaju"
"cs-airport","AJY","Mano Dayak International Airport","Mano Dayak International","Agadez"
"cs-airport","AKA","Ankang Wulipu Airport","Ankang Wulipu","Ankang"
"cs-airport","AKF","Kufra Airport","Kufra",
"cs-airport","AKJ","Asahikawa Airport","Asahikawa","Asahikawa / HokkaidÅ"
"cs-airport","AKL","Auckland International Airport","Auckland International","Auckland"
"cs-airport","AKN","King Salmon Airport","King Salmon",
"cs-airport","AKR","Akure Airport","Akure",
"cs-airport","AKS","Auki Airport","Auki",
"cs-airport","AKT","RAF Akrotiri","RAF Akrotiri","Akrotiri"
"cs-airport","AKU","Aksu Airport","Aksu",
